name,domain,da,pa_home,site_url,image_url,kind,recipes_on_punchfork,in_domains,moz_http
Sweetly Splendid,sweetlysplendid.com,28.0,42.0,https://sweetlysplendid.com/,https://fastimg1.global.ssl.fastly.net/pub/a2/4b/a24b5dfb79ccc2e268b74617272ebe89_250x250.jpg,blogger,399,no,200
The Gluten Free Austrian,theglutenfreeaustrian.com,28.0,41.0,https://theglutenfreeaustrian.com/,https://fastimg1.global.ssl.fastly.net/pub/89/9a/899a47b8c0f6d260a82dc42af2372a2e_250x250.jpg,blogger,387,no,200
The Subversive Table,thesubversivetable.com,28.0,40.0,https://thesubversivetable.com/,https://fastimg1.global.ssl.fastly.net/pub/0c/e8/0ce8e11ed03292a4961e9eb821370355_250x250.jpg,blogger,209,no,200
Sinful Kitchen,sinfulkitchen.com,26.0,40.0,https://sinfulkitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/6d/eb/6deb9ed036d403ef298abd96345ed0b8_250x250.jpg,blogger,149,no,200
Sloane's Table,atsloanestable.com,25.0,37.0,https://atsloanestable.com/,https://fastimg1.global.ssl.fastly.net/pub/e8/72/e872bdcb5152dbdb85e8f2672dab32f4_250x250.jpg,blogger,304,no,200
The Cooking Duo,thecookingduo.com,25.0,31.0,https://www.thecookingduo.com/,https://fastimg1.global.ssl.fastly.net/pub/c4/81/c481673f455ae6d77adafc2f2ae81ca6_250x250.jpg,blogger,291,no,403
Farmhouse Harvest,farmhouseharvest.net,24.0,42.0,https://farmhouseharvest.net/,https://fastimg1.global.ssl.fastly.net/pub/18/07/1807bd26c343385665ffb221d6baf91e_250x250.jpg,blogger,317,no,200
Umamiology,umamiology.com,24.0,31.0,https://umamiology.com/,https://fastimg1.global.ssl.fastly.net/pub/14/3e/143e916bc7a1330d0c97eee551a62711_250x250.jpg,blogger,143,no,0
My Life After Dairy,mylifeafterdairy.com,21.0,35.0,https://mylifeafterdairy.com/,https://fastimg1.global.ssl.fastly.net/pub/25/50/2550ed794b0c6685ae11792b22c34aaf_250x250.jpg,blogger,327,no,406
Eat Dessert Snack,eatdessertsnack.com,21.0,37.0,https://eatdessertsnack.com/,https://fastimg1.global.ssl.fastly.net/pub/2f/4d/2f4d80c62b116c78773c940fffd079d5_250x250.jpg,blogger,210,no,200
Wanderzest,wanderzestblog.com,20.0,42.0,https://wanderzestblog.com/,https://fastimg1.global.ssl.fastly.net/pub/dd/f8/ddf8ff4e00fc51fd7dfadd770440dc9b_250x250.jpg,blogger,136,no,200
Food Network,foodnetwork.com,92.0,,https://www.foodnetwork.com/,https://fastimg1.global.ssl.fastly.net/pub/d8/00/d800f536269e6f1c3c22f37add606328_250x250.jpg,website,37656,yes,
Allrecipes,allrecipes.com,92.0,,https://www.allrecipes.com/,https://fastimg1.global.ssl.fastly.net/pub/e2/28/e228c37056dad4baaaf5c3db18c96235_250x250.jpg,website,25052,yes,
Martha Stewart,marthastewart.com,92.0,,https://www.marthastewart.com/,https://fastimg1.global.ssl.fastly.net/pub/21/16/211673284134cb2133a846d672cc89fc_250x250.jpg,website,3253,yes,
Serious Eats,seriouseats.com,89.0,,https://www.seriouseats.com/,https://fastimg1.global.ssl.fastly.net/pub/47/ad/47ad9295f0de2b6d6f4e9b946080fc1b_250x250.jpg,website,3159,yes,
Epicurious,epicurious.com,88.0,,https://www.epicurious.com/,https://fastimg1.global.ssl.fastly.net/pub/d4/ec/d4ecd20601a687f52226f180764c1a4a_250x250.jpg,website,6955,yes,
Bon Appétit,bonappetit.com,88.0,,https://www.bonappetit.com/,https://fastimg1.global.ssl.fastly.net/pub/9a/fd/9afd1c11f84d9bcbc46f11ff8ddd69a2_250x250.jpg,website,5987,yes,
Food & Wine Magazine,foodandwine.com,87.0,,https://www.foodandwine.com/,https://fastimg1.global.ssl.fastly.net/pub/4e/13/4e138370e6e13d8caff366306d831535_250x250.jpg,website,4659,yes,
Simply Recipes,simplyrecipes.com,87.0,,https://www.simplyrecipes.com/,https://fastimg1.global.ssl.fastly.net/pub/a1/01/a1016f581118769403d01b839f16068d_250x250.jpg,website,3382,yes,
Food52,food52.com,86.0,,https://food52.com/,https://fastimg1.global.ssl.fastly.net/pub/21/da/21daaad75103668495e59f56dcb4c95f_250x250.jpg,website,10501,yes,
Delish,delish.com,85.0,,https://www.delish.com/,https://fastimg1.global.ssl.fastly.net/pub/59/69/5969c509a39a89a481711e86e9405619_250x250.jpg,website,6814,yes,
Taste of Home,tasteofhome.com,84.0,,https://www.tasteofhome.com/,https://fastimg1.global.ssl.fastly.net/pub/4a/76/4a764d40b7cc97090a0da568de0c267d_250x250.jpg,website,11561,yes,
Southern Living,southernliving.com,83.0,,https://www.southernliving.com/,https://fastimg1.global.ssl.fastly.net/pub/c8/ac/c8acc6b8f7bd27733ce15ed93dc0ccd1_250x250.jpg,website,2164,yes,
The Pioneer Woman,thepioneerwoman.com,82.0,,https://www.thepioneerwoman.com/,https://fastimg1.global.ssl.fastly.net/pub/38/74/3874237045fce7d284173d3e73933d72_250x250.jpg,website,2896,yes,
Minimalist Baker,minimalistbaker.com,82.0,,https://minimalistbaker.com/,https://fastimg1.global.ssl.fastly.net/pub/c9/7f/c97fe43747fe759a957fc7a54ab91a4f_250x250.jpg,blogger,1694,yes,
Smitten Kitchen,smittenkitchen.com,80.0,,https://smittenkitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/5f/c0/5fc00bc654439e6afcbba0f1561cf34a_250x250.jpg,blogger,498,yes,
Joy the Baker,joythebaker.com,78.0,,https://joythebaker.com/,https://fastimg1.global.ssl.fastly.net/pub/84/d6/84d6dde382774853b510227bcd9c035f_250x250.jpg,blogger,411,yes,
The Spruce Eats,thespruceeats.com,77.0,,https://www.thespruceeats.com/,https://fastimg1.global.ssl.fastly.net/pub/af/ce/afceb9cfb0e2b6d718950ccce737f2bf_250x250.jpg,website,4545,yes,
EatingWell,eatingwell.com,77.0,,https://www.eatingwell.com/,https://fastimg1.global.ssl.fastly.net/pub/61/af/61af3b5bb31bfda83f965397fe0b61b4_250x250.jpg,website,4484,yes,
King Arthur Baking,kingarthurbaking.com,77.0,,https://www.kingarthurbaking.com/,https://fastimg1.global.ssl.fastly.net/pub/fe/d7/fed7e1a6d2f5819463f5cd85cf9f98ee_250x250.jpg,website,1816,yes,
RecipeTin Eats,recipetineats.com,75.0,,https://www.recipetineats.com/,https://fastimg1.global.ssl.fastly.net/pub/c6/de/c6de2259cece3315aacd7b4d34102655_250x250.jpg,blogger,1481,yes,
Foodiecrush,foodiecrush.com,75.0,,https://www.foodiecrush.com/,https://fastimg1.global.ssl.fastly.net/pub/76/0f/760f1afcea96e9639fc600e2eca79512_250x250.jpg,blogger,1173,yes,
Pinch of Yum,pinchofyum.com,74.0,,https://pinchofyum.com/,https://fastimg1.global.ssl.fastly.net/pub/8e/57/8e57a8c57b166e26a5ce414705524cdc_250x250.jpg,blogger,1147,yes,
Skinnytaste,skinnytaste.com,73.0,,https://www.skinnytaste.com/,https://fastimg1.global.ssl.fastly.net/pub/82/40/82403b7b97fdef2e9801d31c82616605_250x250.jpg,blogger,2094,yes,
A Couple Cooks,acouplecooks.com,73.0,,https://www.acouplecooks.com/,https://fastimg1.global.ssl.fastly.net/pub/da/2f/da2f8af2d5011eacaee40d46a0fe8dc8_250x250.jpg,blogger,2089,yes,
Cooking Classy,cookingclassy.com,73.0,,https://www.cookingclassy.com/,https://fastimg1.global.ssl.fastly.net/pub/ed/df/eddfe960fa0d55f55498a54e19a8f1a8_250x250.jpg,blogger,1401,yes,
Steamy Kitchen,steamykitchen.com,73.0,,https://steamykitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/f3/e8/f3e8869dc8b3cb9bd735f4701c52c416_250x250.jpg,blogger,385,yes,
Half Baked Harvest,halfbakedharvest.com,72.0,,https://www.halfbakedharvest.com/,https://fastimg1.global.ssl.fastly.net/pub/84/d4/84d4353174677c5bf98d4d69dafc9b19_250x250.jpg,blogger,3462,yes,
Cookie and Kate,cookieandkate.com,72.0,,https://cookieandkate.com/,https://fastimg1.global.ssl.fastly.net/pub/3b/e8/3be83d061774547a480b76e241cdf833_250x250.jpg,blogger,841,yes,
Spoon Fork Bacon,spoonforkbacon.com,72.0,,https://www.spoonforkbacon.com/,https://fastimg1.global.ssl.fastly.net/pub/e5/91/e591e5187e5f84eafe0d5259d9141237_250x250.jpg,blogger,826,yes,
101 Cookbooks,101cookbooks.com,72.0,,https://www.101cookbooks.com/,https://fastimg1.global.ssl.fastly.net/pub/4d/30/4d30d59d98513a275e3d2cd0e42504aa_250x250.jpg,blogger,496,yes,
The Recipe Critic,therecipecritic.com,71.0,,https://therecipecritic.com/,https://fastimg1.global.ssl.fastly.net/pub/53/59/535919fbe64680d4340cdbbba8defc16_250x250.jpg,blogger,3329,yes,
Gimme Some Oven,gimmesomeoven.com,71.0,,https://www.gimmesomeoven.com/,https://fastimg1.global.ssl.fastly.net/pub/ce/4b/ce4b4a79b6bd8e9723ff37da1a84c709_250x250.jpg,blogger,1207,yes,
What's Gaby Cooking,whatsgabycooking.com,71.0,,https://whatsgabycooking.com/,https://fastimg1.global.ssl.fastly.net/pub/5d/12/5d12c93f68b771877928648da611ce5a_250x250.jpg,blogger,1188,yes,
Just One Cookbook,justonecookbook.com,71.0,,https://www.justonecookbook.com/,https://fastimg1.global.ssl.fastly.net/pub/e2/de/e2de14e99b30225814041560e200e07e_250x250.jpg,blogger,981,yes,
How Sweet Eats,howsweeteats.com,70.0,,https://www.howsweeteats.com/,https://fastimg1.global.ssl.fastly.net/pub/40/aa/40aa1547d5b400cb3cd4fb5eecde3b4b_250x250.jpg,blogger,2679,yes,
"Life, Love and Sugar",lifeloveandsugar.com,70.0,,https://www.lifeloveandsugar.com/,https://fastimg1.global.ssl.fastly.net/pub/2e/82/2e825af04043f05ad08b2dd536a737a1_250x250.jpg,blogger,1058,yes,
Natasha's Kitchen,natashaskitchen.com,69.0,,https://natashaskitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/b6/df/b6df17088132160d28a6b9eae3440220_250x250.jpg,blogger,1153,yes,
Love and Lemons,loveandlemons.com,68.0,,https://www.loveandlemons.com/,https://fastimg1.global.ssl.fastly.net/pub/85/0e/850efd2c8ba17f8cac2122c4fb29b15b_250x250.jpg,blogger,1431,yes,
The Mediterranean Dish,themediterraneandish.com,67.0,,https://www.themediterraneandish.com/,https://fastimg1.global.ssl.fastly.net/pub/2f/bc/2fbce1305ef51e50ae3905f74fd05be2_250x250.jpg,blogger,1280,yes,
Cafe Delites,cafedelites.com,67.0,,https://cafedelites.com/,https://fastimg1.global.ssl.fastly.net/pub/d1/eb/d1eb4915e48d142e9a24bc01e0952b4d_250x250.jpg,blogger,738,yes,
Jo Cooks,jocooks.com,65.0,,https://www.jocooks.com/,https://fastimg1.global.ssl.fastly.net/pub/ca/f0/caf0c239a515a6ccf78a3035adc8c818_250x250.jpg,blogger,1866,yes,
My Baking Addiction,mybakingaddiction.com,65.0,,https://www.mybakingaddiction.com/,https://fastimg1.global.ssl.fastly.net/pub/60/4d/604dad62b6a00014d82a53781834d626_250x250.jpg,blogger,1061,yes,
Once Upon a Chef,onceuponachef.com,65.0,,https://www.onceuponachef.com/,https://fastimg1.global.ssl.fastly.net/pub/c3/6f/c36f91ec018f46b88b991bba2edc7758_250x250.jpg,blogger,946,yes,
Baker by Nature,bakerbynature.com,65.0,,https://bakerbynature.com/,https://fastimg1.global.ssl.fastly.net/pub/8b/8c/8b8c7eff1cbeb97dde98307be12f3fe3_250x250.jpg,blogger,908,yes,
Handle the Heat,handletheheat.com,65.0,,https://handletheheat.com/,https://fastimg1.global.ssl.fastly.net/pub/a5/1c/a51c1024e865d79c48a4d3b9e81f13f1_250x250.jpg,blogger,564,yes,
A Spicy Perspective,aspicyperspective.com,64.0,,https://www.aspicyperspective.com/,https://fastimg1.global.ssl.fastly.net/pub/6e/25/6e2511359f2e1237fce0057d974f681b_250x250.jpg,blogger,1291,yes,
Tastes Better from Scratch,tastesbetterfromscratch.com,64.0,,https://tastesbetterfromscratch.com/,https://fastimg1.global.ssl.fastly.net/pub/37/0b/370b9ca0106ed7ad50422dcfe07238c6_250x250.jpg,blogger,1034,yes,
Barefoot Contessa,barefootcontessa.com,64.0,,https://barefootcontessa.com/,https://fastimg1.global.ssl.fastly.net/pub/37/71/37714686c752f41f711b0acb2bcc4a4f_250x250.jpg,website,353,yes,
Add a Pinch,addapinch.com,63.0,,https://addapinch.com/,https://fastimg1.global.ssl.fastly.net/pub/9e/5e/9e5ed0dd00531a11600d481acb46572a_250x250.jpg,blogger,1259,yes,
Dinner then Dessert,dinnerthendessert.com,62.0,,https://dinnerthendessert.com/,https://fastimg1.global.ssl.fastly.net/pub/98/85/98858415040d97082dc0e411365afafd_250x250.jpg,blogger,3332,yes,
The Country Cook,thecountrycook.net,62.0,,https://www.thecountrycook.net/,https://fastimg1.global.ssl.fastly.net/pub/b2/c7/b2c7d46b07f7f612fa19c67cfef1b3a4_250x250.jpg,blogger,2332,yes,
The Endless Meal,theendlessmeal.com,62.0,,https://www.theendlessmeal.com/,https://fastimg1.global.ssl.fastly.net/pub/64/26/642669e654012828e4ae04184102be2f_250x250.jpg,blogger,1347,yes,
The Seasoned Mom,theseasonedmom.com,61.0,,https://www.theseasonedmom.com/,https://fastimg1.global.ssl.fastly.net/pub/05/7c/057cb110a0cb0ac3ee7e8d6a6dff3836_250x250.jpg,blogger,1683,yes,
A Beautiful Plate,abeautifulplate.com,61.0,,https://www.abeautifulplate.com/,https://fastimg1.global.ssl.fastly.net/pub/7a/69/7a69aef5674bf50e7ae663dd94dab3a6_250x250.jpg,blogger,467,yes,
Primavera Kitchen,primaverakitchen.com,58.0,,https://www.primaverakitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/a2/44/a244358c69e1cc5fa7f256c4a0c6ea59_250x250.jpg,blogger,612,yes,
The Modern Proper,themodernproper.com,56.0,,https://themodernproper.com/,https://fastimg1.global.ssl.fastly.net/pub/10/2a/102a0ab9286f206b36e4e6a6ec3a4564_250x250.jpg,blogger,1033,yes,
An Italian in my Kitchen,anitalianinmykitchen.com,54.0,,https://anitalianinmykitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/ea/14/ea142c5d2323a6f283c0c207b72ec33a_250x250.jpg,blogger,1230,yes,
Cook with Manali,cookwithmanali.com,53.0,,https://www.cookwithmanali.com/,https://fastimg1.global.ssl.fastly.net/pub/d3/18/d3186772b4282b483c021ae0a0b873a1_250x250.jpg,blogger,1066,yes,
The Salty Marshmallow,thesaltymarshmallow.com,51.0,,https://thesaltymarshmallow.com/,https://fastimg1.global.ssl.fastly.net/pub/f2/ae/f2aecfa7fa32ddde959335eff3fe9bde_250x250.jpg,blogger,875,yes,
Fox and Briar,foxandbriar.com,50.0,,https://www.foxandbriar.com/,https://fastimg1.global.ssl.fastly.net/pub/08/aa/08aa0e00bea9667f889c4af75567e581_250x250.jpg,blogger,466,yes,
Inquiring Chef,inquiringchef.com,49.0,,https://inquiringchef.com/,https://fastimg1.global.ssl.fastly.net/pub/4d/0e/4d0e5ad18f9f9f10a7d4ae09956b8a02_250x250.jpg,blogger,709,yes,
Healthy Fitness Meals,healthyfitnessmeals.com,47.0,,https://healthyfitnessmeals.com/,https://fastimg1.global.ssl.fastly.net/pub/03/c4/03c4f2bac077c4554c4d0abda1304c0e_250x250.jpg,blogger,1476,yes,
Cloudy Kitchen,cloudykitchen.com,44.0,,https://cloudykitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/2b/a1/2ba166be860e7f060597cc5667802f06_250x250.jpg,blogger,392,yes,
The Fresh Cooky,thefreshcooky.com,36.0,,https://www.thefreshcooky.com/,https://fastimg1.global.ssl.fastly.net/pub/02/9b/029bfd8f981a99d70a813d854a0a923f_250x250.jpg,blogger,751,yes,
